"Project","Province","District","Municipality","Capacity (MW)","River","Lic No","Isuue Date","Validity","Promoter","Address","Longitude","Latitude","License Type"
"Radhi Small","Province 4","MANANG","Nashong","4.4","Radhi","47","1/28/2068","1/27/2103","Radhi Bidyut Co. Ltd","P.O.Box: 20290, Phone-014232750,4232749 , Fax: 014232748, Blue Star Complex, Room No. 523, Tripureshwor, Kathmandu","84.41930556","28.4025","Operation"
"Rahughat","Province 4","MYAGDI","Raghuganga","40.0","Rahughat","49","4/3/2068","4/2/2103","Nepal Electricity Authority","0","83.54833333","28.40083333","Generation"
"Rahughat Mangale","Province 4","MYAGDI","Raghuganga","37.0","Rahughat","175","7/29/2073","7/28/2108","Tundi Power Company P.Ltd.","Sanepa Lalitpur, P.O.Box. 6341, Phone 01-5555573, Fax 01-5555574, 9851041573","83.51277778","28.50277778","Generation"
"Rasuwa Bhotekoshi","Province 3","RASUWA","Gosaikunda","120.0","Bhote koshi","223","11/3/2074","11/2/2109","Langtang Bhotekosi Hydropower Company Pvt. Ltd","Sitapaila, Kathmandu, Tel no 9810157778, 9843077976, email langtangproject@gmail.com, liaoxiangi@hotmail.com","85.35416667","28.20472222","Generation"
"Rasuwagadhi","Province 3","RASUWA","Gosaikunda","111.0","Bhote koshi","75","8/21/2069","8/20/2104","Rasuwagadhi H P","Gyaneswor Kathmandu, P.O.Box 25210, Phone 014439163, 014439284","85.37013889","28.25111111","Generation"
"Rauje Khola HPP","Province 1","SOLUKHUMBU","Khumbupasanglahmu","4.99","Rauje Khola","888","5/9/2074","5/8/2076","Hydro Connection Pvt Ltd","Latitpur-15, Mahalaxmisthan., phone no 5523784, email connectionhydro@gmail.com","86.68819444","27.63291667","Survey"
"Rawa Khola","Province 1","BHOJPUR","Salpasilichho","3.0","Rawa Khola","186","11/26/2073","11/25/2108","Rawa Energy Development Pvt Ltd","Ghattekulo, Kathmandu , P.O.Box 20770, Phone 01-4244620","86.85152778","27.35041667","Generation"
"Rawa Khola HEP","Province 1","SOLUKHUMBU","Sotang","3.5","Rawa","911","6/18/2074","6/17/2076","Halesi Hydropower Pvt. Ltd.","Kathmandu- 34, 9851040510 Purnjan Rai","86.77083333","27.32625","Survey"
"Rawa Khola HPP","Province 1","SOLUKHUMBU","Dudhkaushika","6.5","Rawa Khola","112","10/28/2070","10/27/2105","Dudhkoshi Power Company Pvt Ltd","Milanchok 34, Kathmandu, GPO Box: 12015, Tel; 01-4469270, Fax 01-4491475","86.74805556","27.30583333","Generation"
"Rele Khola","Province 4","MYAGDI","Annapurna","6.0","Rele Khola","221","10/28/2074","10/27/2109","Hym Consult","SiphalKathmandu, Ph 4489327, 4491271","83.68930556","28.52","Generation"
"Ribal Khola SHP","Province 3","SINDHUPALCHOK","Panchpokhari Thangpal","0.998","Ribal","0","2/3/2072","0/1/0","Melamchi Hydropower Pvt Ltd","Kathmandu-6,Bauddha,Neapl 9851048846","85.52416667","27.98583333","Survey"
"Richet Khola SHP","Province 3","DHADING","Rubi Valley","5.0","Richet","214","9/4/2074","9/3/2109","Richet Jalbidhyut Company Pvt. Ltd.","Lalitpur-15, Mahalaxmisthan, phone no 5527469, 55237849, 9851006013, email: richethydro@gmail.com","84.92347222","28.17569444","Generation"
"Ridi Khola","Province 5","GULMI","Satyawati","2.4","Ridi","22","2/17/2064","2/16/2099","Ridi Hydropower Development Co P Ltd","P.O. Box: 11039, Baneswor Kathmandu Ph: 4475234, 44474895","83.41666667","27.9375","Operation"
"Rigdi Khola Hydro Project","Province 3","CHITAWAN","Ichchhyakamana","3.7","Rigdi","828","2/12/2074","2/11/2076","Ridhi Hydropower Pvt. Ltd","Kantipath Kathmandu, Ph. 01-4232229, Mo. 9851026244 (Anup Acharya)","84.51666667","27.80763889","Survey"
"Rolwaling Khola","Province 3","DOLAKHA","Bigu","22.0","Rolwaling","895","5/21/2074","5/20/2076","Upper Tamakoshi Hydropower Company Limited","Gyneshwor, KTM, Ph 014421694, 4420658","86.23375","27.9075","Survey"
"Rolwaling Khola HPP","Province 3","DOLAKHA","Bigu","88.0","Rolwaling","847","0/1/0","0/1/0","H.E.D. Energy Pvt. Ltd.","Thamel-29, Kathmandu","86.29375","27.90763889","Survey"
"Rudi A","Province 4","KASKI","Madi","8.8","Rudi Khola","109","9/12/2070","9/11/2105","Bindhabasini Hydropower Developmwnt Company Pvt.Ltd","P.O.Box.10242, Newbaneswor, Kathmandu, phone 4781891, Fax 4785671","84.2","28.25416667","Generation"
"Rudi Khola-B Hydropower Project","Province 4","KASKI","Madi","6.6","Rudi Khola","199","2/26/2074","2/25/2109","Bindhyabasini Hydropower Development Co. Pvt Ltd","Naya Baneshwor, Kathmandu, P.O. Box no 10242, Phone no 4781891, Fax no 4785671, email: rudikhola@gmail.com","84.2","28.28736111","Generation"
"Rugrugad Small HEP","Province 7","DARCHULA","Apihimal","4.91","Rugru gad","976","9/26/2074","9/25/2076","Radhika Bartaula, Sita Ghimire, Prahlad Chaudhary","Tek prasad Chaulagain, 9851023270","80.80319444","29.78875","Survey"
"Rukum gad","Province 5","RUKUM_E","Putha Uttarganga","5.0","Rukum Gad","136","3/9/2072","3/8/2107","Rapti Hydro and General Construction Pvt. Ltd.","Tripureshwor, Kathmandu, P. O. Box no 13961 Phone 014101140, 014251080","82.63763889","28.60361111","Generation"
"Rupse Khola","Province 4","MYAGDI","Annapurna","4.0","Rupse Khola","120","1/5/2071","1/4/2106","Research & Development Group","Buddha Nagar Kathmandu, Phone 014780675","83.62402778","28.55138889","Generation"
"Ruru Banchu - 1","Province 6","JUMLA","Tila","16.0","Rurubanchu Khola","147","6/27/2072","6/26/2107","Mount Nilgiri Hydropower Company Pvt Ltd","P.O.Box 8003, Kathmandu Phone no 01 4216573","81.78319444","29.10125","Generation"
"Ruru Banchu Khola- 2","Province 6","KALIKOT","Tilagufa","12.0","Rurubanchu Khola","178","9/19/2073","9/18/2108","Ruru hydroelectric Co Pvt. Ltd","Kalanki Kathmandu, Phone no 4426472, 9751089755","81.75402778","29.10388889","Generation"
"Sabha Khola","Province 1","SANKHUWASABHA","Sabhapokhari","3.3","Sabha Khola","81","10/4/2069","10/3/2104","Dibyaswari Hydropower P Ltd","Purano Baneswor, Kathmandu, Phone 014461326,","87.28305556","27.39611111","Operation"
"Sabha Khola A","Province 1","SANKHUWASABHA","Chichila","8.3","Sabha Khola","128","6/28/2071","6/27/2106","Deepsabha Hydropower Pvt. Ltd.","Old Baneshwor Kathmandu","87.25833333","27.37416667","Generation"
"Sabha Khola A HEP","Province 1","SANKHUWASABHA","Makalu","9.55","Sabha","1021","3/18/2075","3/17/2077","Sankhuwasabha Power Development Pvt.Ltd","Kathmandu","87.385","27.43597222","Survey"
"Sabha Khola C HPP","Province 1","SANKHUWASABHA","Makalu","4.2","Sabha Khola","851","3/11/2074","3/10/2076","Arbit Energy Pvt. LTd","KMC-32, Kathmandu, Phone no 01-4438203, 9851085982 Ishwori Prasad Rimal","87.32513889","27.43333333","Survey"
"Sabha Khola-B HPP","Province 1","TAPLEJUNG","Meringden","15.1","Sabha Khola","187","11/30/2073","11/29/2108","Arbit Energy P Ltd","Dillibazar Kathmandu, Phone no 4438203, Email: pokhydropower@gmail.com","87.35333333","27.42972222","Generation"
"Sadhu Khola HEP","Province 4","MANANG","Neshyang","8.3","Sadhu Khola","936","7/23/2074","7/22/2076","Northface Power and investment Pvt. Ltd.","KMC-31, New Baneshwor,","83.98638889","28.43611111","Survey"
"Sagu khola 1 HPP","Province 3","DOLAKHA","Bigu","5.5","Sagu","816","2/2/2074","2/1/2076","Him parbat Hydropower pvt ltd","Tripureshwor 11 KTM, 4117079, 9851053161","86.10388889","27.83722222","Survey"
"Sagu Khola HEP","Province 3","DOLAKHA","Bigu","20.0","Sangu Khola","805","12/30/2073","1/29/2075","Himparbat Hydropower Pvt. Ltd.","World Trade Centre, Tripureshwor 5th floor, Kathmandu, 01-4117008,01-4117079,himal Gurung 9851053161, P.O Box 8941","86.10763889","27.80930556","Survey"
"Saiti Khola Small","Province 4","KASKI","Annapurna","0.999","Saiti","0","10/18/2074","0/1/0","Saiti Power Company Pvt. Ltd","Pokhara-12, Kaski, phone no 9846517666","83.89486111","28.36736111","Generation"
"Salankhu Khola","Province 3","RASUWA","Kalika","2.5","Salankhu","107","7/5/2070","7/4/2105","Salankhu Khola Hydropower P. Ltd.","Samakhusi Town Planning-29, Kathmandu; GPO Box.: 8974; CPC Box : 044; Ph: 4390239, 4390240; email: salakhukhola@gmail.co","85.14583333","27.9875","Generation"
"Salleri Chialsa","Province 1","SOLUKHUMBU","Solududhakunda","0.6","Solu Khola","0","3/17/2067","0/1/0","Salleri Chialsa Electricity Company Limited","Nayabazar, Salleri, Solukhumbu, Tel: 038-520210, 520220, Fax: 038-520260","86.57638889","27.48361111","Generation"
"Sangu Khola HPP","Province 3","DOLAKHA","Bigu","5.0","Sangu Khola","771","8/17/2073","8/16/2075","Kalinchowk Hydropower Pvt. Ltd.","World Trade Centre, Tripureshor, Ktm. P.O. Box no.8941.tel 4117079,9860912094 (Gautam Gurung), 9851053161 (Himal Gurung)","86.09208333","27.79555556","Survey"
"Sani Bheri 3 HEP","Province 5","RUKUM_E","Sisne","49.59","Sani Bheri","957","8/14/2074","8/13/2076","Ram Giri","Rivan 8, machhapuchhre, Kaski, 9851180511","82.56472222","28.64583333","Survey"
"Sani Bheri HPP","Province 5","RUKUM_E","Sisne","44.52","Sani Bheri","791","11/26/2073","11/25/2075","Expert Hydro Investment Pvt. Ltd","Baneshwor, Kathmandu, Phone 9851024788,4218988","82.68236111","28.66291667","Survey"
"Sani Bheri-2 HEP","Province 5","RUKUM_E","Sisne","23.31","Sani Bheri","907","6/1/2074","5/30/2076","Swargadwari Hydro Pvt. Ltd.","Tokha-14 Kathmandu, Barja Bahadur Gharti 9851238166( Pyuthan Okharkot-5)","82.63222222","28.63638889","Survey"
"Sanigad","Province 7","BAJHANG","Bungal","10.7","Sani Gad","153","12/14/2072","12/13/2107","Sanigad Hydro P Ltd","Sukedhara, Rara Marg, Kathmandu, Po.Box. No. 13607/21399, Phone no: 01-4101652, 014101653, Email: info.ukhep@gmail.com","80.84375","29.63263889","Generation"
"Sanjen","Province 3","RASUWA","Gosaikunda","42.5","Sanjen","55","8/12/2068","8/11/2103","Sanjen Jalvidyut Co.","P.O.Box 25210, Gyaneswor,Kathmandu, Phone 01-4443077, Fax 01- 4443076","85.28958333","28.2","Generation"
"Sanjen Khola","Province 3","RASUWA","Parbati Kunda","78.0","Sanjen","160","3/9/2073","3/8/2108","Sala Sungi P Ltd","Bhagwati Bahal, Naksal, 1 Kathmandu, 01-4440433, 9861181164, info.salasungi@gmail.com","85.27791667","28.26347222","Generation"
"Sano Milti Khola SHP","Province 3","DOLAKHA","Melung","3.0","Milti","173","6/9/2073","6/8/2108","Sano Milti Khola Hydropower P.Ltd.","Bansbari, Kathmandu, Phone no 012298250, email : smkhl@gmail.com","86.06111111","27.49902778","Generation"
"Sapsup Khola Small Hydro Electric Project","Province 1","KHOTANG","Rupakot Majhuwagadhi","7.151","Sapsup Khola","211","8/29/2074","8/28/2109","Three Star Hydro Power Pvt.Ltd.","593/55 Kha Thapa Gaun, New Banesor-10, Kathmandu.4468423,9851105341","86.74763889","27.12569444","Generation"
"Saptang Khola HPP","Province 3","NUWAKOT","Kispang","2.5","Saptang","215","9/21/2074","9/20/2109","Saptang Hydropower Pvt Ltd","Kathmandu-16, Naya Bazar, Tel:9851035832, 9851076449","85.10319444","28.00819444","Generation"
"Sardi Khola","Province 4","KASKI","Madi","4.0","Sardi","94","3/13/2070","3/12/2105","Mandakini Hydropower Pvt. Ltd.","Baneswor Kathmandu, P.O.Box 7327, Phone 01-4461574","83.99236111","28.34263889","Operation"
"Sepli Khola","Province 1","SOLUKHUMBU","Solududhakunda","5.0","Sepli Khola","819","2/4/2074","2/3/2076","Sepli Hydropower Development Pvt. Ltd.","Battisputali, Kathmandu, P.O.Box 10512, Phone 01-4470602, 9742082308","86.45402778","27.38513889","Survey"
"Seti","Province 4","KASKI","Madi","1.5","Seti Khola","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","83.97888889","28.24111111","Operation"
"Seti Khola HPP","Province 4","KASKI","Machhapuchchhre","30.0","Seti Khola","803","1/8/2074","1/7/2076","Vision Lumbini Ltd.","Butwal-8, Rupandehi, 071-549494, 548464,9857025140","83.96458333","28.34055556","Survey"
"Seti Khola HPP","Province 4","PARBAT","Mahashila","3.5","Seti Khola","205","5/26/2074","5/25/2109","Parbat Paiyu Khola Hydropower Company","Head Office ,Kathmandu Tel: 2093013, Fax: 4385668","83.61875","28.0225","Generation"
"Seti Nadi-3","Province 7","BAJHANG","JayaPrithivi","165.0","Seti Khola","905","6/1/2074","5/30/2076","Chilime Hydropower Company Limited","Dhumbarahi, Kathmandu, 01-4370720","81.19041667","29.55","Survey"
"Seti-II","Province 4","KASKI","Madi","0.78","Seti Khola","0","8/22/2055","0/1/0","Task Hydropower Co. Pvt. Ltd","0","84.02527778","28.21166667","Operation"
"Setikhola Hydroelectric Project","Province 4","KASKI","Pokhara Lekhnath","22.0","Seti Khola","775","9/3/2073","9/2/2075","Setikhola Hydropower Pvt.Ltd.","Kantipath,Kathmandu .PO box 26153","84.08097222","28.11180556","Survey"
"Shyam Khola HEP","Province 1","SANKHUWASABHA","Khandbari","7.25","Shyam Khola","978","10/14/2074","10/13/2076","Shyam Khola Energy Development Pvt. Ltd","Ka.Ma.Na.Pa-29 Ghattekulo, Kathmandu","87.07791667","27.33333333","Survey"
"Siddhi Khola","Province 1","ILAM","Suryodaya","10.0","Siddhi Khola","143","6/13/2072","6/12/2107","Lumbini Builders P. Ltd","New Baneshwor, Kathmandu, Nepal. Ph: 071 520460, 4464305, Po Box no 10678","88.14861111","26.83638889","Generation"
"Simbuwa Khola Hydroelectric Project","Province 1","TAPLEJUNG","Phaktanglung","53.7","Simbuwa Khola","738","4/18/2073","4/17/2076","Remit Hydro Ltd","Babarmahal, Kathmandu-11,4257024,4257025,9851084895 fax4251060","87.82986111","27.51472222","Survey"
"Simrutu Khola","Province 6","RUKUM_W","Musikot","0.2","Simruth","0","1/7/2075","0/1/0","Simrutu Khola Jal Upvokta Samiti","Rukum","82.44166667","28.58027778","Generation"
"Singati Khola hydropower project","Province 3","DOLAKHA","Kalinchok","25.0","Singati","150","9/30/2072","9/29/2107","Singati Hydro Energy Pvt. Ltd.","Durbar Marg Kathmandu, Tel: 4228816, Fax : 977-1-4223570","86.14166667","27.76069444","Generation"
"Sinkos Khola HPP","Province 4","MYAGDI","Dhaulagiri","3.45","Sinkos Khola","814","2/1/2074","1/31/2076","Simkos Hydropower P.Ltd.","KMC-14, Kalanki,Kathmandu, KMC-30,Samakhusi, Kathmandu","83.40194444","28.55208333","Survey"
"Sipa Khola HEP","Province 3","SINDHUPALCHOK","Chautara SangachokGadhi","1.514","Sipa","944","7/29/2074","7/28/2076","Simbuwa Khola A Hydropower Pvt. Ltd.","9851056080","85.66180556","27.76597222","Survey"
"Sipring Khola","Province 3","DOLAKHA","Gaurishankar","10.0","Sipring","27","1/30/2066","1/29/2101","Synergy Power Development P Ltd","P.O.Box 24600, Kathmandu, Phone 01-4440433","86.24236111","27.81902778","Operation"
"Sisa Khola A Hydropower Project","Province 1","SOLUKHUMBU","Dudhkaushika","2.8","Sisa","180","9/22/2073","9/21/2108","Upper Solu Hydroelectric Company Pvt Ltd","Hattisar, Kathmandu, Tel: 44269, 4426942, Fax no 4426943, Po. Box no 660, Email ushec@info.com.np","86.56625","27.44166667","Generation"
"Sisne Khola","Province 5","PALPA","Tinau","0.8","Sisne Khola","0","3/24/2060","0/1/0","Gautam Budha Hydropower Development Company","0","83.47916667","27.76458333","Operation"
"Siuri Khola","Province 4","LAMJUNG","Marsyangdi","5.0","Siuri","31","5/30/2066","5/29/2101","Nyadi Group Pvt Ltd","PO Box 14165, Kathmandu, Ph: 6219566","84.47555556","28.345","Operation"
"Solu Hydropower Project","Province 1","SOLUKHUMBU","Solududhakunda","23.5","Solu Khola","117","12/4/2070","12/3/2105","Upper Solu Hydroelectric Company Pvt Ltd","Hattisar, Kathmandu, Tel: 4434895, Fax: 4434937","86.57583333","27.4625","Generation"
"Solu Khola (Dudha Koshi)","Province 1","SOLUKHUMBU","Dudhkoshi","86.0","Solu Khola","126","6/2/2071","6/1/2106","Sahas Urja Limited","Kathmandu-1, Hatisar Phone 01-4419182","86.65694444","27.39277778","Generation"
"Sona Khola Hydropower Project","Province 1","TAPLEJUNG","Mikwakhola","5.0","Sona Khola","913","6/25/2074","6/24/2076","Himali Hydro Fund Pvt. Ltd.","Tokha Nagarpalika 14, Ganeshthan, Gongabu, Kathmandu. Mob no. 9851263322","87.65291667","27.56222222","Survey"
"Sun Koshi","Province 3","SINDHUPALCHOK","Sunkoshi","10.05","Sun Koshi","1_gtd","12/6/2051","11/30/2101","Nepal Electricity Authority","0","85.85555556","27.75833333","Operation"
"Sunigad","Province 7","BAJHANG","Talkot","11.05","Suni Gad","832","2/10/2074","2/9/2076","Omega EnergyDeveloper Pvt. Ltd","Chandole Kathmandu, omegaenergy73@gmail.com,01-4436184","81.21694444","29.63472222","Survey"
"Sunkoshi Small","Province 3","SINDHUPALCHOK","Tripurasundari","2.6","Sun Koshi","12","6/22/2059","3/31/2094","Sanima Hydripower Pvt.Ltd","0","85.90833333","27.78333333","Operation"
"Super Budhigandaki","Province 4","GORKHA","Chum Nubri","52.0","Budhigandaki","929","7/14/2074","7/13/2076","Natural Hydro Nepal Pvt. Ltd","Pulchok lalitpur, 01-5009156","84.72361111","28.57083333","Survey"
"Super Chepe","Province 4","GORKHA","Sulikot","9.05","Chepe Khola","834","2/22/2074","2/21/2076","Ridge Line Energy Pvt. Ltd","Lalitpur 10, 9851198805, 015520465","84.64180556","28.23333333","Survey"
"Super Dordi Kha Hydropower Project","Province 4","LAMJUNG","Dordi","49.6","Dordi","115","11/21/2070","11/20/2105","Peoples Hydropower Company Pvt.Ltd.","G.P.O. Box 14165 Maharajgunj Kathmandu, Phone 016222304 Fax 014720739","84.54305556","28.29208333","Generation"
"Super Ghalemdi HPP","Province 4","MYAGDI","Annapurna","9.14","Ghalemdi","813","1/29/2074","1/28/2076","Super Ghalemdi Hydropower Pvt. Ltd.","Lalitpur 10","83.725","28.53541667","Survey"
"Super Inkhu Khola","Province 1","SOLUKHUMBU","Khumbupasanglahmu","22.12","Inkhu","948","8/4/2074","8/3/2076","Dordi Khola Jalvidyut Company Limited","Bluestar Complex Tripureshwor, 01-4232449","86.79555556","27.61194444","Survey"
"Super Iwa Khola HEP","Province 1","PANCHTHAR","Yangwarak","4.0","Iwa Khola","915","0/1/0","6/30/2076","Kanchanjunga Hydro Energy Pvt. Ltd","Ka. Ma. Na. Pa 35","87.98694444","27.31458333","Survey"
"Super Kabeli Khola A","Province 1","TAPLEJUNG","Sirijangha","15.0","Kabeli Khola","849","3/8/2074","3/7/2076","Snow River Pvt. Ltd","Tusalmarga house number 148, Kathmandu-7, 01-6911637, 9860420866 bikram bhandari, 9851220305 pratap gurung","87.94541667","27.4625","Survey"
"Super Kabeli Khola HPP","Province 1","TAPLEJUNG","Sirijangha","20.0","Kabeli Khola","817","2/2/2074","2/1/2076","Hilton Hydro Energy Pvt. Ltd.","GPO no.20762,Bakuwatar, Kathmandu","87.8975","27.43791667","Survey"
"Super Lower Bagmati HPP","Province 3","KABHREPALANCHOK","Khanikhola","35.9","Bagmati","869","4/4/2074","4/3/2076","Tsetan Gyurman Shrestha","Boudha, Kathmandu 6, Nepal. mob: 9818785021, 9851047673","85.42319444","27.37083333","Survey"
"Super Machha Khola HEP","Province 4","GORKHA","Dharche","4.6","Machha Khola","964","8/29/2074","8/28/2076","Budhigandaki Hydropower Pvt. Ltd","Balaju-16,Kathmandu, 9851148537, 01-4380505","84.80125","28.23430556","Survey"
"Super Madi","Province 4","KASKI","Madi","44.0","Madi Khola","192","12/17/2073","12/16/2108","Himal Hydro and General Construction Ltd.","P.O.Box 12268, Kathmandu, Phone 01-5000032, 5000211","84.11097222","28.33902778","Generation"
"Super Mai Hydropower Project","Province 1","ILAM","Maijogmai","7.8","Mai Khola","188","11/30/2073","11/29/2108","Supermai Hydropower Pvt.Ltd.","Kathmandu -5, Tangal , Phone no 4470887, email: supermaihydropower@gmail.com","87.95236111","26.95375","Generation"
"Super Mai Khola Cascade HPP","Province 1","ILAM","Sandakpur","3.8","Mai Khola","755","8/9/2073","8/8/2075","Mai Khola Hydropower Pvt.Ltd.","Kathmandu-10, Thapagaun","87.94847222","26.93444444","Survey"
"Super Mai-A HPP","Province 1","ILAM","Maijogmai","9.6","Mai Khola","224","11/18/2074","11/17/2109","Sagarmatha Jalbidhyut Company P.Ltd.","168/22 Thapa Gaun, New Banesor-10, Kathmandu.42272949, 9851018025,9751000158","87.96694444","26.98430556","Generation"
"Super Melamchi Hydropower Project","Province 3","SINDHUPALCHOK","Panchpokhari Thangpal","24.7","Melamchi","923","7/5/2074","7/4/2076","Milarepa Energy Pvt Ltd","Boudh, Kathmandu, Tel; 9851020622, 01-4820834, 01-4821086(Fax), P.O box no. 5722","85.53194444","28.00319444","Survey"
"Super Most Iwa","Province 1","PANCHTHAR","Yangwarak","3.7","Iwa","1010","2/9/2075","2/8/2077","Bishnu Kumar Maden","Kathmandu","88.01180556","27.34097222","Survey"
"Super Nyadi Hydropower Project","Province 4","LAMJUNG","Dordi","40.27","Nyadi","204","5/14/2074","5/13/2109","Siuri Nyadi Power Pvt. Ltd","GPO Box no 14165, Anamnagar Kathmandu, Tel 4223608, 4238159, email: supernyadi@siurihydro.com","84.47708333","28.37944444","Generation"
"Super Seti HEP","Province 4","KASKI","Madi","24.0","Seti Khola and Batase Khola","977","9/30/2074","9/29/2076","S N Energy Pvt. Ltd","Kupondole, Lalitpur, 01-6922762","84.00319444","28.45291667","Survey"
"Super Tamor","Province 1","TAPLEJUNG","Phaktanglung","155.0","Tamor","784","11/2/2073","11/1/2075","Cristal Power Development Pvt ltd","Baluwatar, Kathmandu, Phone no 4430050","87.79166667","27.60930556","Survey"
"Super Trishuli","Province 4","GORKHA","Sahid Lakhan","100.0","Trishuli","218","10/7/2074","10/6/2109","Blue Energy Pvt. Ltd","GPO Box: 9609, Kathmandu, Nepal. Tel : 4216606, 4221305, email dibya.pant@gmail.com","84.62583333","27.84680556","Generation"
"Supper Sabha Khola Small HPP","Province 1","TAPLEJUNG","Meringden","4.1","Sabha Khola","773","8/23/2073","8/22/2075","Sankhuwasabha Power Development Pvt.Ltd","339/96 Pepsikola Town Planning ,Kathmandu 9841401080","87.405","27.45444444","Survey"
"Suri Khola","Province 3","DOLAKHA","Gaurishankar","7.0","Suri","134","2/24/2072","2/23/2107","Suri Khola Hydropower Pvt Ltd","GPO Box: 8941 , Katmandu. Phone no 4117079","86.23333333","27.745","Generation"
"Surke Dudhkoshi HEP","Province 1","SOLUKHUMBU","Solududhakunda","350.0","Dudhkoshi","987","11/25/2074","11/24/2076","Yeti World Investment Pvt. Ltd.","Yeti Building, Tilganga Ringroad, Kathmandu","86.69819444","27.6125","Survey"
"Suspa Bukhari Khola","Province 3","DOLAKHA","Kalinchok","0.998","Suspa Bukhari Khola","0","2/4/2071","0/1/0","Kutheli Bukhari Small Hydropower","Banepa Kavre","86.0625","27.70277778","Operation"
"Suti Khola Hydropower Project","Province 4","MANANG","Nashong","17.0","Suti","932","7/23/2074","7/22/2076","Nilganga Hydropower Company Pvt. Ltd","Kathmandu-32, Tinkune","84.41583333","28.60986111","Survey"
"Syalque Khola Small HEP","Province 4","MANANG","Nashong","3.41","Syalque khola, Danque Khola","924","7/1/2074","6/30/2076","Alliance Energy Solutions Pvt Ltd","Putalisadak, Kathmandu","84.31236111","28.52333333","Survey"
"Syankhu Khola","Province 3","DOLAKHA","Bigu","0.996","Syankhu","0","5/6/2074","5/5/2076","Gaurab Malla","0","86.12666667","27.85222222","Survey"
"Syano Khola HPP","Province 4","MUSTANG","Thasang","4.2","Syano Khola","796","12/15/2073","12/14/2075","Karnali Jalashrot Limited","Anamnagar-32, Kathmandu","83.50597222","28.54236111","Survey"
"Syar Khola HPP","Province 4","GORKHA","Chum Nubri","59.5","Syar","922","7/1/2074","6/30/2076","Bigland Hydropower P. Ltd.","Kathmandu-5, Phone no 9851038091(Bikram Bist), 9843686713 ( Rajkumar Mishra)","85.00347222","28.47625","Survey"
"Tadi Ghyamphedi HPP","Province 3","SINDHUPALCHOK","Helambu","4.7","Tadi Khola","899","5/26/2074","5/25/2076","Purna Lal Shrestha and Bala Ram Khatiwada","Gongabu-13, Ktm","85.45375","27.99763889","Survey"
"Tadi Khola","Province 3","SINDHUPALCHOK","Helambu","5.0","Tadi Khola","51","6/4/2068","6/3/2103","Hiraratna hydropower Pvt. Ltd","Kalopul,Kathmandu -5, POB : 21650, Ph no. 01-4220127, Fax 4226330","85.39138889","27.94638889","Generation"
"Tadi Khola (thaprek)","Province 3","NUWAKOT","Panchakanya","5.0","Tadi Khola","54","8/6/2068","8/5/2103","Aadi Shakti Bidhut Bikash Co. P. Ltd","P.O. Box: 897, Ph: 01-4219731","85.33652778","27.92444444","Operation"
"Taksar Pikhuwa","Province 1","BHOJPUR","Pauwadungma","8.0","Pikhuwa","159","3/3/2073","3/2/2108","Taksar Pikhuwa Khola Hydropower Pvt. Ltd.","Gairigaun, Tinkune, Kathmandu, Phone no 9851099478, 4495459, Email: taksarpikhuwahydropower@gmail.com","87.04930556","27.13027778","Generation"
"Tallo Bagmati Small HPP","Province 3","MAKAWANPUR","Indrasarowar","8.5","Bagmati","901","5/23/2074","5/22/2076","Maheswor Prakash Shrestha","Heritage Plaza, Kamaladi. Mob No. 9851058430. P.O.Box 7970","85.24375","27.49902778","Survey"
"Tamakoshi 3","Province 3","DOLAKHA","Melung","650.0","Tama Koshi","918","6/26/2074","6/25/2076","TBI Holding Co. Ltd.","TBI Plaza, Gairidhara, kathmandu, Phone no 9801168841","86.1175","27.61458333","Survey"
"Tamakoshi V","Province 3","DOLAKHA","Gaurishankar","87.0","Tama Koshi","193","2/9/2074","2/8/2109","Tamakoshi hydropower Company Ltd.","Durbar Marg , Kathmandu","86.20833333","27.79027778","Generation"
"Tamakoshi- 9 HEP","Province 3","DOLAKHA","Bigu","24.46","Tamakoshi","1017","2/28/2075","2/27/2077","Asian Hydropower Pvt. Ltd","Baneshwor, Kathmandu","86.21597222","27.95569444","Survey"
"Taman Khola","Province 4","BAGLUNG","Dhorpatan","4.85","Taman","227","12/25/2074","12/24/2109","Taman Khola Hydro Pvt. Ltd.","Tokha4358730, email tamankhydro@gmail.comKathmandu","83.17541667","28.34402778","Generation"
"Tamor Khola-5 HEP","Province 1","TAPLEJUNG","Phaktanglung","40.0","Tamor","921","6/29/2074","6/28/2076","River Side Hydro Energy Pvt. Ltd","Lazimpat, Kathmandu, 9808900203","87.79638889","27.52125","Survey"
"Tamor Mewa","Province 1","TAPLEJUNG","Phungling","128.0","Tamor","675","11/22/2070","3/8/2075","Spark Hydroelectric Co. Ltd.","Dharmabhakta Marg, Chabhil, P.O. Box. 20832, Kathmandu","87.64375","27.36777778","Survey"
"Tamor Storage","Province 1","PANCHTHAR","Kummayak","200.0","Tamor","666","4/16/2070","4/15/2074","Nepal Electricity Authority","Ratnapark, kathmandu","87.64083333","27.12972222","Survey"
"Tanahu HEP","Province 4","TANAHU","Ghiring","140.0","Seti Khola","157","2/3/2073","2/2/2108","Tanahu Hydropower Limited","4th Floor, Trade Tower, Thapathali, Kathmandu. Phone: 5111117, 5111118 Fax: 5111121, Email: info@thl.com.np","84.17916667","27.95833333","Generation"
